no,word,meaning
1,create,を創り出す
2,increase,増加する
3,improve,を向上させる
4,mean,を意味する
5,own,を所有している
6,include,を含む
7,consider,を見なす
8,allow,を許す
9,suggest,を提案する
10,produce,を生産する
11,decide,を決める
12,offer,を提供する，申し出る
13,require,を要求する
14,share,を共有する
15,store,を保存する
16,tend,傾向がある
17,concern,心配している
18,describe,について述べる，を説明する
19,involve,を関与させる
20,reduce,を減らす
21,design,を設計する
22,force,に強いる
23,limit,を制限する
24,bear,に耐える
25,affect,に影響を及ぼす
26,deal,を処理する
27,avoid,を避ける
28,relate,を関連づける
29,realize,に気づく
30,encourage,を奨励する
31,compare,を比較する
32,measure,を測る
33,exist,存在する
34,mark,に印をつける
35,challenge,に異議を唱える
36,depend,頼る
37,object,反対する
38,demand,を要求する
39,found,を設立する
40,complete,を完成させる，仕上げる
41,idea,考え，思いつき
42,accord,一致
43,company,会社
44,interest,興味
45,research,研究，調査
46,cause,原因
47,reason,理由
48,effect,影響，効果
49,influence,影響
50,situation,状況
51,environment,環境
52,skill,技能
53,matter,事柄
54,view,見解
55,value,価値
56,species,種
57,thought,考え
58,knowledge,知識
59,memory,記憶
60,practice,実践，実行
61,benefit,利益，恩恵
62,theory,学説
63,issue,問題
64,experiment,実験
65,article,記事
66,focus,焦点
67,subject,話題
68,project,計画
69,quality,質
70,role,役割
71,term,用語
72,statement,声明
73,material,材料，素材
74,evidence,証拠
75,source,源，根源
76,community,社会，～界
77,technology,科学技術
78,culture,文化
79,appropriate,適切な
80,likely,ありそうな
81,possible,可能な
82,individual,個々の
83,public,公の
84,common,共通の
85,certain,確信して
86,similar,似ている，類似した
87,recent,最近の
88,major,主要な
89,patient,忍耐強い
90,particular,特定の
91,physical,身体の
92,various,さまざまな
93,available,手に入る
94,native,出生地の
95,political,政治の
96,due,予定された
97,blank,空白の
98,ancient,古代の
99,correct,正しい
100,despite,～にもかかわらず
101,notice,に気づく
102,refer,言及する，関連する
103,approach,に近づく
104,wonder,かなと思う
105,imagine,想像する
106,recognize,を識別できる
107,solve,を解く，解明する
108,occur,起こる
109,argue,と主張する
110,claim,と主張する
111,express,を表す，述べる
112,draw,を引き出す
113,waste,を浪費する，無駄にする
114,advance,を進歩させる
115,spread,を広める
116,prepare,を準備する
117,gain,を獲得する
118,achieve,を達成する
119,establish,を確立する
120,supply,を供給する
121,suppose,と思う
122,perform,行う
123,prefer,のほうを好む
124,determine,を決定する
125,treat,を扱う
126,prove,を証明する
127,apply,を適用する
128,mention,に言及する
129,communicate,情報交換をする
130,contain,を含む
131,contact,と連絡を取る
132,regard,を見なす
133,respect,を尊敬する
134,search,捜す
135,connect,をつなぐ
136,decline,減少する
137,prevent,を妨げる
138,suffer,苦しむ
139,survive,を切り抜けて生き残る
140,publish,を出版する
141,opportunity,機会
142,task,仕事，作業
143,industry,産業
144,medium,媒体
145,economy,経済
146,policy,政策，方針
147,account,説明
148,trade,貿易
149,model,模範
150,figure,数字
151,cell,細胞
152,image,印象，イメージ
153,emotion,感情，情動
154,stress,ストレス
155,decade,10年間
156,range,範囲
157,character,性格，個性
158,advantage,利点
159,phrase,句
160,damage,損害，損傷
161,impact,影響
162,method,方法
163,resource,資源
164,region,地域
165,medicine,薬
166,detail,詳細，細部
167,feature,特徴
168,function,機能
169,access,利用，入手
170,item,品目，項目
171,income,収入
172,attitude,態度
173,site,用地，場所
174,aspect,側面
175,structure,構造
176,habit,習慣，癖
177,link,関連，つながり
178,instance,例，実例
179,positive,肯定的な
180,negative,否定的な
181,complex,複雑な
182,current,現在の
183,mental,精神の
184,specific,特定の
185,significant,重要な，重大な
186,essential,必要不可欠な
187,official,公用の
188,financial,財政の
189,academic,学問の
190,aware,気づいて，知って
191,worth,に値する
192,potential,潜在的な
193,active,積極的な
194,digital,デジタル方式の
195,mobile,可動式の
196,novel,斬新な，目新しい
197,plastic,柔軟な
198,chemical,化学の，化学的な
199,necessary,必要な
200,eventually,結局
201,identify,を特定する
202,represent,を表す
203,indicate,を指し示す
204,manage,をなんとか成し遂げる
205,attend,に出席する
206,maintain,を維持する
207,survey,を調査する
208,replace,に取って代わる
209,sort,を分類する
210,conduct,を実施する
211,associate,を結び付けて考える
212,attempt,を試みる，企てる
213,promote,を促進する
214,earn,を稼ぐ
215,unite,を団結させる
216,feed,に食べ物を与える
217,seek,を追い求める
218,observe,に気づく
219,reveal,を明らかにする
220,estimate,と推定する
221,reflect,を反映する
222,attract,を引きつける
223,decrease,減少する
224,ignore,を無視する
225,match,合う
226,define,を定義する
227,adapt,適応する
228,contribute,貢献する，一因となる
229,exchange,交換する
230,display,を示す
231,respond,反応する
232,hide,を隠す
233,doubt,ではないと思う
234,remove,を取り除く
235,wind,を巻く
236,assume,を当然のことと思う，と仮定する
237,relax,くつろぐ
238,satisfy,を満足させる
239,desire,を強く望む
240,succeed,成功する
241,concept,概念
242,fashion,流行，ファッション
243,device,装置，機器
244,charge,料金
245,contrast,対照
246,colleague,同僚
247,pain,苦痛，痛み
248,bill,請求書
249,content,内容，中身
250,section,部門
251,audience,聴衆，観客
252,surface,表面
253,crop,作物
254,topic,話題，トピック
255,technique,技術
256,status,地位
257,option,選択
258,reward,報酬
259,race,人種
260,crime,罪，犯罪
261,conflict,争い
262,struggle,闘い
263,context,状況，背景
264,debate,討論，論争
265,fuel,燃料
266,pollution,汚染，公害
267,trend,傾向
268,balance,均衡，バランス
269,traffic,交通
270,strategy,戦略
271,basis,基礎
272,consequence,結果
273,aim,目的，目標
274,ancestor,祖先
275,gene,遺伝子
276,track,跡
277,revolution,革命
278,progress,進歩
279,cognitive,認知の
280,ideal,理想的な
281,efficient,効率的な
282,universal,普遍的な
283,vast,莫大な
284,extra,追加の，余分の
285,entire,全体の，全部の
286,familiar,精通している
287,obvious,明らかな
288,moral,道徳の，倫理的な
289,ordinary,一般の，普通の
290,equal,等しい
291,previous,以前の，前の
292,False,間違った
293,rare,まれな，珍しい
294,legal,法律の
295,independent,独立した
296,extreme,極端な
297,actual,実際の，現実の
298,willing,いとわない，かまわないと思う
299,urban,都市の
300,whereas,～するのに，～する一方
301,predict,を予言する
302,examine,を調べる
303,trust,を信頼する
304,stick,を動けなくする
305,emerge,現れる
306,vary,さまざまである
307,release,を放出する
308,divide,を分ける
309,enable,が…できるようにする
310,judge,判断する
311,rely,頼る
312,engage,を従事させる
313,shift,を変える，移す
314,adopt,を採用する
315,acquire,を得る
316,expand,拡大する
317,refuse,を拒む
318,strike,の心を打つ
319,repeat,繰り返す
320,consume,を消費する
321,confuse,を混同する
322,select,を選ぶ，えり抜く
323,evolve,発展する
324,convince,を納得させる
325,recall,を思い出す
326,destroy,を破壊する
327,preserve,を保存する
328,organize,を準備する
329,warn,に警告する(of / against)
330,address,に対処する
331,operate,を操作する
332,participate,参加する
333,surround,を取り巻く
334,flow,流れる
335,bore,を退屈させる，うんざりさせる
336,complain,不平を言う
337,host,を主催する
338,combine,を結び付ける
339,extend,を伸ばす
340,appreciate,を正当に評価する
341,target,目標
342,element,要素，成分
343,principle,原則，原理
344,phenomenon,現象
345,atmosphere,大気
346,origin,起源
347,personality,個性，性格
348,capacity,容量，収容能力
349,profit,利益
350,circumstance,状況，事情
351,manner,作法
352,threat,脅威
353,resident,居住者
354,wealth,富
355,institution,機関
356,authority,当局
357,vote,投票
358,sight,光景
359,campaign,運動
360,fund,基金，資金
361,web,ウェブ
362,symbol,象徴，シンボル
363,analysis,分析
364,version,版
365,perspective,観点，見方
366,crisis,危機
367,disaster,災害
368,lecture,講義，講演
369,psychology,心理学
370,gender,性，性別
371,custom,慣習
372,court,裁判所，法廷
373,desert,砂漠
374,soil,土地，土壌
375,agriculture,農業
376,fossil,化石
377,document,文書，書類
378,vocabulary,語彙
379,intelligent,聡明な
380,conscious,意識して，気づいて
381,capable,能力がある
382,accurate,正確な
383,fundamental,基本的な
384,artificial,人工の
385,firm,確固たる
386,overall,総合的な
387,rural,田舎の，田園の
388,military,軍の，軍事の
389,nuclear,核の，原子力の
390,biological,生物学の
391,constant,絶え間ない
392,severe,厳しい
393,visual,視覚の
394,enormous,莫大な，巨大な
395,convenient,便利な，都合のいい
396,domestic,家庭の
397,mass,大規模な，大量の
398,typical,典型的な
399,overseas,海外へ
400,nevertheless,それにもかかわらず
401,demonstrate,を論証する
402,behave,振る舞う
403,educate,を教育する
404,purchase,を購入する
405,recommend,を勧める
406,admit,認める
407,generate,を生み出す
408,explore,調査する
409,amaze,をびっくりさせる
410,tear,を引き裂く
411,settle,を解決する
412,afford,を持つ余裕がある
413,conclude,と結論づける
414,advertise,を宣伝する
415,encounter,に遭遇する
416,remind,に思い出させる
417,locate,位置する
418,aid,を援助する，助ける
419,bite,かむ，かみつく
420,deliver,を配達する
421,perceive,に気づく
422,distinguish,を区別する
423,imply,を暗に意味する
424,handle,を処理する，扱う
425,praise,を賞賛する
426,appeal,訴える
427,insist,強く主張する
428,compete,競う
429,rank,を位置づける，評価する
430,deny,を否定する
431,reject,を拒否する
432,intend,を意図する
433,expose,をさらす
434,favor,に賛成する
435,inspire,を奮起させる
436,propose,を提案する
437,spell,をつづる
438,breathe,呼吸する
439,repair,を修理する
440,consist,成る
441,comment,意見，コメント
442,instruction,指示
443,religion,宗教
444,neighborhood,地域
445,laboratory,実験室，研究室
446,presence,存在
447,confidence,自信
448,harm,害，損害
449,instrument,器具
450,category,部類，区分
451,capital,資本
452,outcome,結果
453,notion,概念，観念
454,review,論評
455,trait,特性
456,diversity,多様性
457,victim,犠牲，被害者
458,occasion,場合，時
459,facility,施設，設備
460,stock,在庫品
461,conference,会議
462,humanity,人類
463,dialect,方言
464,proportion,割合
465,tip,助言，秘訣
466,lawyer,弁護士
467,stuff,物
468,comfort,快適さ
469,philosophy,哲学
470,mammal,哺乳動物
471,quantity,量
472,landscape,風景
473,tribe,部族
474,organ,器官，臓器
475,trial,試み，試験
476,norm,規範
477,code,規範
478,substance,物質
479,multiple,多様な
480,numerous,非常に数の多い
481,narrow,狭い
482,widespread,広範囲にわたる
483,sufficient,(～に
484,proper,適切な
485,linguistic,言語の，言語学の
486,annual,年1回の，例年の
487,contemporary,現代の
488,contrary,反対の
489,strict,厳しい
490,civil,市民の
491,odd,奇妙な
492,unknown,不明の
493,superior,よりすぐれた
494,sensitive,敏感な
495,violent,激しい
496,virtual,仮想の
497,regardless,かまわない，無頓着な
498,immediate,即座の
499,crucial,重要な
500,somewhat,いくぶん，多少
501,interpret,を解釈する
502,translate,を翻訳する
503,concentrate,集中する
504,request,に頼む
505,criticize,を批判する
506,overcome,を克服する
507,obtain,を得る
508,inform,に知らせる
509,ensure,を確実にする
510,announce,を発表する，知らせる
511,grant,にを与える
512,freeze,凍る
513,oppose,に反対する
514,differ,異なる
515,hate,をひどく嫌う
516,emphasize,を強調する
517,employ,を雇う
518,credit,を帰する(to)
519,transform,を変える
520,construct,を建設する
521,arise,生じる
522,beat,を打ち負かす
523,regret,を後悔する
524,alter,を変える
525,absorb,を吸収する
526,disappoint,を失望させる
527,cure,を治す
528,transport,を輸送する
529,rush,急いで行く
530,hang,を掛ける
531,blame,を責める
532,ban,を禁止する
533,fascinate,を魅了する
534,recover,回復する
535,celebrate,を祝う
536,manufacture,を製造する
537,interact,影響し合う
538,arrange,の段取りをつける
539,adjust,を調整する
540,confirm,を確認する
541,insight,見識，理解
542,innovation,革新
543,budget,予算
544,fee,料金
545,expense,経費
546,debt,借金，負債
547,loan,貸付金，融資
548,duty,義務
549,alarm,不安，恐れ
550,emergency,緊急
551,democracy,民主主義，民主政治
552,minister,大臣
553,fellow,仲間，同僚
554,candidate,候補(for)
555,corporation,企業
556,stereotype,固定観念
557,route,道
558,disorder,障害，不調
559,depression,憂うつ
560,weapon,兵器，武器
561,immigration,移民，移住
562,barrier,障壁
563,disadvantage,不利
564,mood,気分
565,motion,動き，動作
566,routine,決まり切った仕事
567,discipline,規律，しつけ
568,myth,作り話
569,hypothesis,仮説
570,physician,医師
571,client,顧客
572,colony,植民地
573,statistics,統計
574,grain,穀物
575,ingredient,材料，成分
576,treasure,宝物，財宝
577,contract,契約
578,welfare,福祉，幸福
579,prime,主要な，最も重要な
580,curious,好奇心の強い
581,dramatic,劇的な
582,distinct,明らかに異なる
583,anxious,心配して
584,vital,必要不可欠な
585,conventional,従来の
586,abstract,抽象的な
587,minor,重要でない
588,extraordinary,並はずれた
589,stable,安定した
590,flexible,融通の利く，柔軟な
591,brief,簡潔な
592,aggressive,攻撃的な
593,visible,見える
594,unexpected,思いがけない，不意の
595,ethnic,民族の，人種の
596,alien,異質の
597,initial,初めの
598,exact,正確な
599,precise,正確な
600,latter,後者の，後半の
601,commit,献身する
602,stimulate,を刺激する
603,enhance,を高める，増す
604,pursue,を追求する
605,react,反応する
606,disagree,不賛成である
607,stare,じっと見る
608,abandon,を捨てる
609,quit,をやめる
610,capture,をとらえる
611,transfer,を移す
612,bother,を悩ます
613,persuade,を説得する
614,rent,を賃借りする
615,breed,を繁殖させる，育てる
616,invest,投資する
617,reserve,を予約する
618,trace,をたどる
619,illustrate,を説明する
620,advise,に忠告する
621,convey,を伝える
622,attach,を付ける
623,stretch,を伸ばす
624,puzzle,を当惑させる
625,disturb,をかき乱す
626,crash,衝突する，墜落する
627,cope,うまく処理する
628,permit,を許可する
629,impress,を感動させる
630,suspect,ではないかと思う
631,upset,を動揺させる
632,frighten,を怖がらせる
633,import,を輸入する
634,export,輸出する
635,investigate,を調査する
636,monitor,を監視する
637,calculate,を計算する
638,eliminate,を取り除く
639,ease,を軽減する
640,launch,を開始する
641,sequence,連続
642,therapy,療法
643,symptom,症状
644,incident,出来事，事件
645,witness,目撃者
646,sum,額
647,burden,負担
648,tone,口調
649,honor,光栄
650,award,賞
651,priority,優先
652,logic,論理
653,minimum,最小限度
654,exception,例外
655,clue,手がかり
656,bond,絆
657,virus,ウイルス
658,surgery,手術
659,insurance,保険
660,frame,枠，縁
661,shelter,避難，保護
662,territory,領土
663,boundary,境界
664,habitat,生息地
665,district,地区
666,conservation,保護
667,harvest,収穫
668,predator,捕食動物
669,trap,わな
670,trick,こつ
671,fault,責任
672,discount,割引
673,bias,偏見
674,cooperation,協力，共同
675,patent,特許
676,dialogue,対話，会話
677,component,構成要素
678,reputation,評判
679,verbal,言葉の
680,internal,内部の
681,solid,しっかりした
682,remote,遠く離れた
683,principal,主要な
684,sophisticated,高性能の，精巧な
685,equivalent,等しい，相当する
686,rational,理性的な
687,relevant,関係がある
688,absolute,絶対的な
689,frequent,頻繁な
690,permanent,永続的な
691,intense,強烈な
692,meaningful,意味のある
693,evil,邪悪な
694,extinct,絶滅した
695,random,無作為の
696,raw,生の
697,rude,無礼な
698,mere,単なる，ほんの
699,tropical,熱帯の
700,forth,前へ，先へ
701,possess,を所有している
702,dominate,を支配する
703,guarantee,を保証する
704,melt,溶ける
705,embarrass,に恥ずかしい思いをさせる
706,discourage,にやる気をなくさせる
707,detect,を感知する
708,devote,をささげる
709,urge,に促す
710,lend,を貸す
711,restrict,を制限する
712,isolate,を孤立させる
713,accompany,に同行する
714,exhaust,を疲れ果てさせる
715,annoy,を悩ます
716,endanger,を危険にさらす
717,acknowledge,を認める
718,admire,に敬服する
719,evaluate,を評価する
720,declare,を宣言する
721,secure,を確保する
722,specialize,専門とする
723,attribute,を帰する(to)
724,pretend,ふりをする
725,bury,を埋める
726,reverse,を逆転させる
727,resist,に抵抗する
728,scare,をおびえさせる
729,imitate,をまねる
730,assist,援助する
731,resemble,に似ている
732,retire,引退する，退職する
733,neglect,をおろそかにする，怠る
734,collapse,崩壊する
735,reform,を改革する
736,protest,抗議する
737,owe,に借りがある
738,sustain,を持続させる
739,assign,を割り当てる
740,accomplish,を成し遂げる
741,wisdom,知恵
742,literacy,読み書きの能力
743,heritage,遺産
744,mission,使命
745,license,免許
746,elite,〔集合的に〕エリート
747,layer,層
748,motor,モーター
749,protein,たんぱく質
750,profession,職業
751,editor,編集者
752,agent,仲介者，代理人
753,globe,地球
754,haven,避難所，保護区
755,row,列
756,sacrifice,犠牲
757,means,手段
758,session,集まり
759,league,連盟
760,contest,コンテスト，競技
761,guard,警備員
762,opponent,相手
763,glance,ちらっと見ること
764,divorce,離婚
765,tissue,組織
766,liquid,液体
767,inequality,不平等
768,prejudice,偏見
769,justice,公正，正義
770,guideline,指針，ガイドライン
771,platform,プラットフォーム
772,sector,部門，セクター
773,channel,チャンネル
774,glacier,氷河
775,primate,霊長目の動物
776,usage,用法
777,fortune,財産
778,correlation,相互関係，相関
779,artistic,芸術的な
780,literary,文学の
781,classic,第一級の
782,liberal,自由主義の
783,concrete,具体的な
784,slight,わずかな
785,federal,連邦の
786,primitive,原始的な
787,unfamiliar,不慣れな
788,subtle,微妙な
789,plain,明らかな
790,marine,海の
791,apparent,明白な
792,reluctant,気が進まない，嫌がる
793,temporary,一時的な
794,guilty,罪悪感のある
795,royal,王の
796,pure,純粋な
797,incredible,信じられない
798,eager,熱望して
799,adequate,十分な
800,via,～経由で
801,assess,を評価する
802,approve,賛成する
803,remark,と述べる
804,pose,を引き起こす
805,yield,をもたらす
806,exhibit,を示す，見せる
807,distribute,を分配する
808,command,を命じる
809,occupy,を占める
810,pop,ひょいと動く
811,pile,を積み重ねる
812,greet,に挨拶する
813,apologize,(～に
814,frustrate,をいら立たせる
815,relieve,を和らげる
816,derive,由来する
817,deserve,に値する
818,peer,じっと見る
819,defeat,を負かす
820,convert,を変える
821,wed,と結婚する
822,delight,を喜ばせる
823,boost,を押し上げる
824,endure,に耐える
825,correspond,一致する
826,impose,を課す
827,rescue,を救う
828,resolve,を解決する
829,register,を記録する，登録する
830,interrupt,を中断させる
831,rid,から取り除く，除去する
832,prohibit,を禁止する
833,compose,を構成する
834,misunderstand,誤解する
835,punish,を罰する
836,ruin,をだめにする
837,defend,を防御する
838,embrace,を受け入れる
839,modify,を修正する
840,qualify,に資格を与える
841,passion,情熱
842,enthusiasm,熱情，熱意
843,phase,段階，局面
844,mode,方式
845,span,期間
846,gravity,重力，引力
847,orbit,軌道
848,asteroid,小惑星
849,core,核心
850,soul,精神
851,nerve,神経
852,infection,感染
853,mall,モール，ショッピングセンター
854,grocery,食料雑貨
855,humor,ユーモア
856,instinct,本能
857,faith,信頼
858,courage,勇気
859,incentive,動機
860,prospect,見込み
861,obstacle,障害(to)
862,architecture,建築
863,stem,茎，幹
864,illusion,錯覚，思い違い
865,discrimination,差別
866,shame,恥
867,drought,干ばつ
868,flavor,風味
869,portion,部分
870,recipe,調理法，レシピ
871,luxury,ぜいたく
872,chip,小片，破片
873,ritual,儀式
874,sake,のために，の目的で
875,prefecture,県，府
876,council,議会
877,administration,管理
878,curriculum,教育課程，カリキュラム
879,precious,貴重な
880,generous,寛大な
881,casual,何気ない
882,optimistic,楽観的な
883,rough,粗い
884,unpleasant,不愉快な
885,Arctic,北極の
886,ultimate,究極の
887,deaf,耳が聞こえない
888,genuine,本物の
889,manual,体を使う
890,mechanical,機械の
891,instant,即時の，すぐの
892,spare,余分の，予備の
893,immune,免疫を持つ
894,harsh,厳しい
895,collective,集団の，共同の
896,inevitable,避けられない
897,profound,重大な
898,steady,着実な，一定の
899,mature,成熟した
900,likewise,同様に
901,chase,追跡する
902,sue,を告訴する
903,gaze,じっと見る
904,slip,滑る
905,load,に積む
906,overwhelm,を圧倒する
907,wander,歩き回る
908,float,漂う，浮かぶ
909,pour,を注ぐ
910,substitute,を代わりに使う
911,pronounce,を発音する
912,shrink,縮む，縮小する
913,restore,を回復させる
914,trigger,を引き起こす
915,grab,をつかむ
916,retain,を保持する
917,reproduce,を複製する
918,bob,上下に動く
919,entertain,を楽しませる
920,interfere,干渉する，介入する
921,cultivate,を養う
922,underlie,の根底にある
923,anticipate,を予期する
924,justify,を正当化する
925,regulate,を規制する
926,scan,を走査する
927,classify,を分類する
928,submit,を提出する
929,pause,中止する
930,lean,傾く
931,bump,ぶつかる
932,fold,を折り畳む
933,hesitate,躊躇する，ためらう
934,pump,をポンプで送り込む
935,mount,を据えつける
936,exceed,を超える
937,undergo,を経験する
938,confront,に立ち向かう
939,consult,相談する
940,fulfill,を実現させる
941,privilege,特権，特典
942,formation,形成
943,dimension,側面，局面
944,neuron,ニューロン，神経単位
945,sensation,感覚
946,chart,図，グラフ
947,geography,地理
948,panel,一団
949,semester,学期
950,workforce,労働人口，総労働力
951,mill,製造工場
952,abuse,乱用
953,vice,悪
954,fate,運命
955,tragedy,悲劇
956,scenario,筋書き，事態
957,allergy,アレルギー
958,wound,傷
959,antibiotic,抗生物質
960,vaccine,ワクチン
961,metaphor,隠喩
962,folk,人々
963,fare,料金
964,transition,移り変わり
965,maximum,最大限
966,galaxy,星雲，銀河
967,mineral,鉱物
968,skeleton,骨格
969,counterpart,相当する物
970,stroke,脳卒中
971,pedestrian,歩行者
972,trail,小道
973,ecology,生態学
974,sibling,きょうだい
975,ratio,比率
976,mixture,混合
977,charm,魅力
978,ambition,願望，野望
979,prominent,卓越した
980,radical,急進的な
981,prompt,即座の，迅速な
